% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.438822586e+01 +1.438822586e+01 +2.125822586e+01 +2.125822586e+01 +1.6278e+00 +2.6110e-01 +1.5656e-01 +8.4521e-01 +1.5903e+00 +4.3586e+00 +4.7924e+00 -2.6174e+00 +5.7787e-01 -3.6958e+00 -4.6202e+00 +3.7748e+00 -2.3493e+00 -2.7285e+00 +4.2758e+00 +4.8400e+00 +1.2999e+00 -3.0740e+00 +4.6937e+00 +2.0532e+00
2 +8.560144964e+00 +8.560144964e+00 +1.543014496e+01 +1.543014496e+01 +3.5930e+00 +1.0883e+00 +1.0183e+00 +4.7894e+00 +4.2767e+00 +4.7288e+00 -1.4608e+00 +2.6549e+00 +1.9710e+00 -2.5303e+00 +7.0938e-02 +1.9952e+00 +2.4106e+00 +2.4942e+00 +6.3160e-01 -5.9567e-01 +2.3472e+00 -2.9977e+00 -1.0124e+00 +4.6256e+00
18 +4.367153070e+00 +4.367153070e+00 +1.123715307e+01 +1.123715307e+01 -1.6933e+00 -3.5087e+00 -4.2616e+00 -6.1955e-01 +1.7347e+00 -3.5463e+00 -3.4433e+00 -5.1148e-01 -1.0260e+00 -4.7417e+00 +4.4520e+00 +3.8695e+00 +1.8952e+00 -2.1287e+00 -1.0147e-01 +1.6672e+00 -7.0358e-01 +3.1305e+00 +4.3581e+00 -1.9434e+00
200 +3.732086505e+00 +3.732086505e+00 +1.060208650e+01 +1.060208650e+01 -1.3630e+00 -1.3937e+00 +2.2449e+00 -5.3979e-01 +2.9455e-01 +4.2302e+00 -1.3636e+00 -3.7898e+00 -3.1545e+00 +2.9692e+00 +5.3232e-01 +4.2029e+00 +1.2369e+00 +4.6675e+00 -2.4337e+00 +3.5147e+00 +7.4395e-01 +2.8394e+00 -2.9818e+00 +2.3064e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.684694690e+00 +9.684694690e+00 +9.694694690e+00 +9.694694690e+00 -2.3475e+00 +1.5825e+00 -2.4894e+00 +4.6960e+00 +1.9266e+00 -1.8459e+00 -3.6601e+00 -3.3652e+00 -2.5041e+00 +3.7771e+00 -9.7667e-02 -3.4582e+00 +3.0305e+00 -3.1863e+00 -3.5650e+00 +3.7013e+00 -4.1354e+00 +2.5637e+00 +2.8298e+00 -5.8111e-01
13 +6.164093532e+00 +6.164093532e+00 +6.174093532e+00 +6.174093532e+00 -2.0679e+00 +1.2021e+00 -4.0221e+00 -5.0374e-01 +4.4101e+00 +2.1515e+00 -6.0957e-01 +1.4260e+00 -8.5133e-01 -4.5538e+00 -1.3530e+00 +3.4612e+00 +1.8553e+00 +3.9237e+00 +7.5836e-01 +3.5844e+00 +1.4441e+00 +2.2570e+00 -6.2055e-01 -1.4037e+00
% function evaluation | noise-free fitness - Fopt (-1.306100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.741937118e+01 +1.741937118e+01 -1.131906288e+02 -1.131906288e+02 -1.5215e+00 +4.9049e+00 +1.7704e+00 -4.5609e+00 -4.8542e+00 -4.4948e+00 -3.1007e+00 -1.7701e-01 +4.8234e-01 +1.0882e+00 -1.7262e+00 +4.2595e+00 -8.4080e-01 -1.0306e+00 -3.6708e+00 -4.9420e+00 -3.6329e+00 -9.5125e-01 -1.6824e+00 +9.3503e-01
2 +1.079370077e+01 +1.079370077e+01 -1.198162992e+02 -1.198162992e+02 +1.5463e+00 +3.9617e+00 +5.3680e-01 +2.9350e+00 +1.8163e+00 -1.4497e+00 -4.7607e+00 +3.0995e+00 +1.3155e+00 +1.3949e+00 +2.1461e+00 +2.3472e+00 +1.7594e+00 -3.6942e+00 +4.6848e+00 -3.2356e-01 +1.7523e+00 +4.7793e+00 +1.7190e+00 -1.9541e+00
