% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.450882688e+03 +1.450882688e+03 +9.887926885e+02 +9.887926885e+02 +2.4844e+00 +1.0020e+00 -1.9297e+00 -6.9454e-01 +4.5488e+00 +2.8616e+00 -3.0668e+00 -2.5000e+00 +4.6996e-02 -3.2277e+00 -2.4189e+00 +2.1685e+00 +4.2886e+00 -1.1646e-01 -4.0531e+00 -4.4868e+00 -2.2322e+00 +4.0765e+00 +7.0237e-01 -1.0649e+00
36 +4.565956762e+02 +4.565956762e+02 -5.494323769e+00 -5.494323769e+00 +5.6544e-01 +4.1903e+00 +1.5585e+00 +1.6060e+00 +2.7547e+00 +5.3809e-01 -5.9845e-01 +3.1344e+00 -1.7241e+00 +2.4789e+00 -2.1668e+00 -2.7637e+00 -7.3136e-01 -8.8181e-01 +3.4220e-01 -3.9939e+00 -2.0571e+00 +3.0599e+00 -2.0037e+00 -1.5551e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.682886261e+03 +1.682886261e+03 +1.760546261e+03 +1.760546261e+03 -5.9797e-01 -1.2599e+00 -1.5336e+00 +3.8803e+00 +8.0858e-01 -3.7571e-01 -2.9270e+00 +3.7510e+00 -4.1109e+00 -1.2953e+00 +5.8894e-01 -1.2697e+00 -1.5792e+00 +2.1082e+00 -4.9636e+00 +4.4413e+00 -4.9263e+00 +1.9539e+00 -1.8933e+00 -7.8304e-01
10 +1.381089758e+03 +1.381089758e+03 +1.458749758e+03 +1.458749758e+03 -2.1813e+00 +3.7232e+00 +3.1443e+00 +2.6364e+00 -3.2126e+00 -1.4670e+00 -1.8444e+00 -3.0331e+00 +7.0040e-01 +1.3990e+00 +2.2910e+00 -6.8781e-01 +1.5956e-01 -2.2745e+00 +1.6122e+00 -4.9388e-01 -4.7049e+00 -3.2085e+00 -4.7177e+00 -2.4701e+00
52 +9.621027551e+02 +9.621027551e+02 +1.039762755e+03 +1.039762755e+03 -1.9963e-01 -4.4341e+00 -7.9217e-01 -4.0802e-02 +1.6691e-01 -9.3874e-01 +1.2947e+00 +3.5069e+00 +4.4382e+00 -1.8594e+00 +1.3170e+00 +3.4370e+00 -4.5112e-01 -1.9912e+00 +1.8065e+00 -5.3587e-01 -4.5816e+00 -1.2101e+00 +3.2809e+00 -4.8386e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.261851046e+03 +2.261851046e+03 +2.377531046e+03 +2.377531046e+03 -1.9917e+00 +2.3743e+00 +3.6480e+00 -3.4857e+00 +3.0592e+00 +3.9641e+00 +1.5637e+00 +7.5037e-01 +2.6807e+00 -1.4599e+00 -4.5438e+00 -1.6577e+00 -1.8762e+00 +4.6792e+00 +3.4925e+00 -4.0060e+00 +2.6644e+00 -2.0831e-01 +2.6054e+00 -3.3579e+00
2 +1.468218641e+03 +1.468218641e+03 +1.583898641e+03 +1.583898641e+03 -3.4655e+00 -3.2642e-01 -1.9774e+00 -1.3364e-02 -3.6690e+00 -2.9141e+00 +3.9066e+00 -1.1029e+00 -4.2556e+00 +2.7300e+00 +1.0915e+00 +3.7907e+00 -3.7438e+00 +1.0243e+00 -3.9187e-01 +2.3103e-01 -3.3169e+00 +3.8456e+00 -2.8497e+00 -2.3208e+00
10 +7.651423230e+02 +7.651423230e+02 +8.808223230e+02 +8.808223230e+02 +3.2681e+00 -3.0378e-01 +2.6218e+00 +3.7679e+00 -1.3973e-01 +2.1557e+00 -8.2114e-01 +2.5431e+00 -1.6902e+00 -4.8386e+00 -3.4677e+00 +1.1935e-01 -4.9742e+00 +1.1868e+00 -2.9987e+00 -1.9377e+00 +2.3854e+00 +1.7614e+00 +4.2764e+00 -2.8973e+00
