% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.254316561e+07 +3.254316561e+07 +3.254311067e+07 +3.254311067e+07 -2.6556e+00 +3.1583e+00 -2.1520e+00 -6.8243e-01 -1.1434e+00 +2.5629e+00 -3.2323e+00 +5.1612e-01 +2.7425e+00 +1.9350e+00 +3.1839e+00 +3.4344e+00 -9.3999e-01 +8.9255e-01 +9.8351e-01 +3.7146e+00 +9.7715e-01 -4.2001e-01 -2.0561e+00 -2.3490e+00
2 +1.615207004e+07 +1.615207004e+07 +1.615201510e+07 +1.615201510e+07 -3.8298e-01 -2.1248e+00 -3.6338e+00 -4.8261e-01 +1.9673e+00 -3.6874e+00 -2.6057e+00 -3.9576e+00 +1.2343e+00 +3.9456e+00 -3.2155e+00 +2.5979e+00 -3.1281e+00 +2.2911e+00 +2.3637e+00 -2.8501e+00 +3.2122e+00 -3.4948e+00 -4.5204e-01 +1.0052e+00
3 +1.006840282e+07 +1.006840282e+07 +1.006834788e+07 +1.006834788e+07 -2.2363e+00 -3.9618e+00 +3.3032e+00 -3.6445e+00 +2.0226e+00 +2.4356e+00 +1.2263e+00 -6.9297e-01 +2.6750e+00 +3.5137e+00 -3.1206e+00 -1.6724e+00 +1.5723e+00 -2.4003e+00 -2.2578e+00 +3.6034e+00 -2.1075e+00 +1.6844e+00 -2.7678e+00 -1.0893e+00
4 +8.278816724e+06 +8.278816724e+06 +8.278761784e+06 +8.278761784e+06 +2.5236e+00 -3.5731e+00 +2.6816e+00 +3.6670e+00 +1.3507e+00 +1.6539e+00 +2.2391e+00 +2.1163e+00 +2.6258e+00 +2.9044e+00 -1.4890e+00 +1.7523e+00 -3.6483e+00 -3.8677e-01 -1.2027e+00 +3.5580e+00 +3.7683e-01 +3.1765e+00 -4.4856e-01 -8.9181e-01
8 +5.755534224e+06 +5.755534224e+06 +5.755479284e+06 +5.755479284e+06 +3.1842e-01 -3.8786e+00 +7.2399e-01 +9.7302e-01 +2.1844e+00 -5.2178e-01 -5.1319e-01 +2.4804e+00 +6.8084e-01 -2.6247e+00 +2.5134e+00 +1.8603e+00 +7.0664e-02 +8.3739e-01 +3.4133e+00 -1.0675e+00 -2.7122e+00 -7.3735e-01 -3.5503e+00 -2.9122e+00
16 +2.340037095e+06 +2.340037095e+06 +2.339982155e+06 +2.339982155e+06 -8.8061e-01 +1.9444e+00 -4.8461e-01 +3.6484e-01 -1.7658e+00 -1.0142e+00 +4.3660e-01 -3.2862e+00 -2.5797e+00 +3.8943e+00 +5.1093e-01 -4.9991e-01 -1.9696e+00 -8.6292e-01 -3.7861e+00 -4.3599e-01 +2.7729e+00 -1.6358e+00 -2.4726e+00 -3.9653e+00
22 +1.566051711e+06 +1.566051711e+06 +1.565996771e+06 +1.565996771e+06 -2.6458e+00 -8.1502e-01 -2.2803e+00 +1.5961e+00 -1.1996e+00 +2.4711e-02 +1.6962e+00 -2.4614e+00 +3.3036e-01 -4.6498e-01 +3.1260e+00 -1.5476e+00 -5.5175e-01 -4.3277e-01 -2.1047e+00 +9.2165e-01 +1.8141e+00 -1.1186e-01 -2.6291e+00 +5.4122e-01
154 +9.722465781e+05 +9.722465781e+05 +9.721916381e+05 +9.721916381e+05 -2.7588e+00 -1.2587e+00 -2.0337e+00 +2.4484e+00 -1.3194e+00 -9.2358e-02 +1.1390e+00 -2.6982e+00 -5.3174e-01 -1.2500e-01 +1.7268e+00 -1.5496e+00 -2.4703e-02 -3.3837e-01 -2.8106e+00 +1.2751e+00 +1.9043e+00 -2.7058e-01 -2.7878e+00 +9.3763e-01
804 +6.205276969e+05 +6.205276969e+05 +6.204727569e+05 +6.204727569e+05 -2.7886e+00 -1.4688e+00 -2.0860e+00 +2.6711e+00 -1.2824e+00 -1.1046e-01 +1.2626e+00 -2.8453e+00 -6.3808e-01 -1.5722e-01 +1.4725e+00 -1.2853e+00 -1.0078e-01 -5.4220e-01 -2.7177e+00 +1.3527e+00 +2.1445e+00 +7.1730e-02 -2.8192e+00 +8.8184e-01
2313 +3.980201905e+05 +3.980201905e+05 +3.979652505e+05 +3.979652505e+05 -3.1454e+00 -1.6140e+00 -2.5044e+00 +2.7931e+00 -1.1962e+00 -2.2390e-01 +1.1662e+00 -3.1733e+00 -5.1844e-01 -1.6205e-01 +1.2181e+00 -8.3186e-01 -5.3531e-01 -5.7367e-01 -2.6878e+00 +1.3512e+00 +2.3233e+00 +1.7868e-02 -2.7319e+00 +1.1679e+00
