% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.731271413e+01 +1.731271413e+01 +2.418271413e+01 +2.418271413e+01 +3.5386e+00 +3.7804e+00 +2.1661e-01 +2.9805e+00 +7.6276e-01 -1.1007e+00 -3.6968e+00 +2.1878e+00 +3.7887e+00 -1.8351e+00 -1.7598e+00 -2.3310e+00 -7.4829e-02 -1.0318e-01 +3.1468e-01 -2.0015e+00 -3.1030e+00 +2.9272e+00 -6.7423e-01 -2.3411e+00
2 +8.611744312e+00 +8.611744312e+00 +1.548174431e+01 +1.548174431e+01 +3.9308e-01 -1.2195e-01 -2.5738e+00 -2.8778e+00 +3.0380e-01 +3.1700e-01 -1.8943e+00 -9.1549e-01 -1.1459e+00 +3.7264e+00 -2.6305e+00 -3.5142e+00 -2.9983e+00 -3.5340e+00 +3.0339e-01 -3.4883e+00 -3.1039e+00 -2.1990e+00 +2.9762e+00 -3.6007e+00
53 +4.259466736e+00 +4.259466736e+00 +1.112946674e+01 +1.112946674e+01 -2.3731e+00 -2.3640e+00 -1.7464e+00 +1.3333e+00 -1.1622e+00 +3.1399e+00 -2.9540e+00 -3.3965e+00 +1.3713e+00 +3.5799e+00 -1.6636e+00 -2.6083e+00 -1.9096e+00 -3.6915e+00 +1.6537e+00 +3.2209e-01 -1.1908e+00 +2.4408e+00 -3.2542e+00 -6.0519e-01
1844 +3.453753111e+00 +3.453753111e+00 +1.032375311e+01 +1.032375311e+01 -1.3963e+00 -3.2430e+00 +1.2581e+00 +1.5590e+00 +9.7622e-01 +2.0675e+00 -2.6170e+00 -5.9507e-01 +2.6798e+00 +3.5773e-01 +4.1348e-01 +6.4057e-01 -8.9205e-01 -2.0031e+00 +2.7194e-01 +2.4537e+00 -2.0326e-01 +5.3118e-01 -9.2865e-01 +3.0249e+00
2327 +2.291497164e+00 +2.291497164e+00 +9.161497164e+00 +9.161497164e+00 +1.1873e+00 +2.5269e+00 -8.2794e-01 -4.4134e-01 -1.5339e+00 +3.1290e+00 -2.8803e+00 -3.7853e+00 -3.4237e+00 +4.0683e+00 +2.9634e+00 -1.8604e-01 -2.4931e-01 +1.2758e+00 -1.8454e-01 +7.9256e-01 -3.4882e+00 -6.3626e-01 +6.8013e-01 +2.7706e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.315609007e+01 +1.315609007e+01 +1.316609007e+01 +1.316609007e+01 +8.5745e-01 -3.9304e+00 +3.8790e+00 -2.8437e+00 -3.0029e+00 +4.8268e-01 +1.2262e+00 +1.0539e+00 +3.7714e+00 +3.9450e+00 -1.3083e-01 +2.9977e-01 -1.3764e-02 +3.1700e+00 -7.3162e-01 -1.8291e+00 -3.5600e+00 -2.3865e-01 +9.3444e-01 +1.2460e+00
2 +6.558053499e+00 +6.558053499e+00 +6.568053499e+00 +6.568053499e+00 +1.8091e+00 -1.1909e+00 +1.0507e+00 +2.2484e+00 +1.0155e+00 +2.5333e+00 +1.0654e+00 +1.0991e+00 -2.3323e+00 +3.5221e+00 +1.1817e+00 -2.7832e+00 -1.0619e+00 -1.0370e+00 -1.7772e+00 +1.2954e+00 +2.1181e+00 -3.6538e+00 -5.9888e-01 -2.9634e+00
9 +6.286817038e+00 +6.286817038e+00 +6.296817038e+00 +6.296817038e+00 -7.7619e-01 +3.5909e+00 -2.8979e+00 -3.7572e+00 -2.8835e-01 -2.2334e+00 +3.1140e-01 +1.6256e+00 +3.3600e+00 -3.4082e+00 -3.8677e+00 +1.3475e+00 -1.9569e+00 +3.2572e+00 +1.6149e+00 -3.1863e-01 -5.1722e-01 +1.7067e+00 +1.3979e+00 -3.6214e+00
986 +3.919077257e+00 +3.919077257e+00 +3.929077257e+00 +3.929077257e+00 -1.2492e+00 +2.7279e+00 +3.0493e+00 -2.8994e+00 +1.1620e+00 -1.4148e+00 -2.6002e+00 -5.0381e-01 +1.4659e+00 +2.5200e+00 -2.3009e+00 -3.8774e-02 -2.5258e+00 -8.3878e-01 +8.0438e-01 -3.3429e+00 +1.4999e+00 +1.4555e+00 +1.1631e-01 +1.1514e+00
% function evaluation | noise-free fitness - Fopt (-1.306100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
